Reference,MPN,Qty,Description
U1,STM32F407VGT6,1,ARM Cortex-M4F MCU 168MHz LQFP-100
U2,TCAN332DR,1,3.3V CAN transceiver SOIC-8
U3,TPS54331DDAR,1,3A step-down converter SOIC-8 PowerPAD
U4,AMS1117-3.3,1,1A LDO fixed 3.3V SOT-223
U5,MX25L12835FM2I-10G,1,128Mbit SPI NOR flash SOIC-8
U6,LM358DR,1,Dual op-amp SOIC-8
Y1,ABM8-25.000MHZ-D2Y-T,1,25MHz crystal SMD-3225
D1,USBLC6-2SC6,1,USB ESD protection SOT-23-6
D2,SMAJ33A,2,33V TVS diode DO-214AC
C1,GRM188R71H104KA93D,20,100nF 50V X7R 0603
C21,GRM21BR61E106KA73L,6,10uF 25V X5R 0805
R1,RC0603FR-0710KL,12,10k 1% 0603
R13,RC0603FR-074K7L,4,4.7k 1% 0603
L1,SRN6045TA-100M,1,10uH 3A shielded inductor
J1,43045-0400,2,Micro-Fit 3.0 header 4 position
